都道府県名,年,国籍,年間訪問者数,第1四半期,第2四半期,第3四半期,第4四半期
青森県,2013,香港,2239,0,0,859,1380
青森県,2013,タイ,2174,0,0,0,2174
青森県,2013,シンガポール,225,225,0,0,0
青森県,2013,マレーシア,1477,262,0,751,464
青森県,2013,インド,204,0,0,94,110
青森県,2013,英国,961,0,0,468,493
青森県,2013,フランス,739,189,0,550,0
青森県,2013,ドイツ,157,0,157,0,0
青森県,2013,ロシア,75,0,0,0,75
青森県,2013,カナダ,968,462,233,0,273
青森県,2013,米国,5225,1031,1721,1511,962
青森県,2013,オーストラリア,1931,248,1119,258,306
青森県,2014,韓国,2322,0,399,930,993
青森県,2014,中国,3271,0,613,882,1776
青森県,2014,台湾,24655,1168,6057,5437,11993
青森県,2014,香港,5047,0,2647,0,2400
青森県,2014,ベトナム,624,0,624,0,0
青森県,2014,タイ,1856,0,0,1856,0
青森県,2014,シンガポール,815,0,510,305,0
青森県,2014,マレーシア,661,0,661,0,0
青森県,2014,フィリピン,781,0,781,0,0
青森県,2014,インドネシア,426,155,271,0,0
青森県,2014,インド,288,0,0,288,0
青森県,2014,英国,2907,1136,1199,572,0
青森県,2014,フランス,372,0,0,372,0
青森県,2014,ドイツ,1096,163,0,529,404
青森県,2014,ロシア,228,0,228,0,0
青森県,2014,カナダ,1411,0,609,802,0
青森県,2014,米国,10807,1059,4574,3359,1815
青森県,2014,オーストラリア,4507,0,2702,1243,562
青森県,2015,韓国,2414,0,218,1314,882
青森県,2015,中国,7980,602,816,4305,2257
青森県,2015,台湾,31854,4369,3868,9994,13623
青森県,2015,香港,4277,1164,1451,0,1662
青森県,2015,ベトナム,813,0,0,813,0
青森県,2015,タイ,1975,871,0,1104,0
青森県,2015,シンガポール,2116,0,0,545,1571
青森県,2015,マレーシア,302,0,302,0,0
青森県,2015,フィリピン,1164,289,875,0,0
青森県,2015,インドネシア,0,0,0,0,0
青森県,2015,インド,284,123,161,0,0
青森県,2015,英国,2186,0,0,2186,0
青森県,2015,フランス,1306,0,442,449,415
青森県,2015,ドイツ,1664,566,0,714,384
青森県,2015,スペイン,0,0,0,0,0
青森県,2015,イタリア,1338,0,470,725,143
青森県,2015,ロシア,116,0,0,0,116
青森県,2015,カナダ,2727,525,0,1782,420
青森県,2015,米国,16384,2344,2741,8727,2572
青森県,2015,オーストラリア,6641,1181,0,4262,1198
青森県,2016,韓国,4040,1391,253,1353,1043
青森県,2016,中国,14132,7672,3089,2483,888
青森県,2016,台湾,56222,6531,10688,12121,26882
青森県,2016,香港,7648,0,0,1834,5814
青森県,2016,ベトナム,0,0,0,0,0
青森県,2016,タイ,3207,0,1256,666,1285
青森県,2016,シンガポール,4551,0,963,577,3011
青森県,2016,マレーシア,1122,361,761,0,0
青森県,2016,フィリピン,0,0,0,0,0
青森県,2016,インドネシア,365,0,0,365,0
青森県,2016,インド,148,148,0,0,0
青森県,2016,英国,895,0,458,437,0
青森県,2016,フランス,805,355,0,0,450
青森県,2016,ドイツ,0,0,0,0,0
青森県,2016,スペイン,0,0,0,0,0
青森県,2016,イタリア,343,0,146,197,0
青森県,2016,ロシア,421,0,311,110,0
青森県,2016,カナダ,908,0,0,424,484
青森県,2016,米国,14191,2117,2369,5305,4400
青森県,2016,オーストラリア,4694,0,533,2846,1315
青森県,2017,韓国,7241,860,844,4577,960
青森県,2017,中国,22624,5356,4209,7249,5810
青森県,2017,台湾,63753,1919,11594,7591,42649
青森県,2017,香港,15032,0,4525,4471,6036
青森県,2017,ベトナム,0,0,0,0,0
青森県,2017,タイ,5474,1166,1304,0,3004
青森県,2017,シンガポール,0,0,0,0,0
青森県,2017,マレーシア,1063,425,0,0,638
青森県,2017,フィリピン,0,0,0,0,0
青森県,2017,インドネシア,767,0,0,767,0
青森県,2017,インド,412,0,227,0,185
青森県,2017,英国,2989,448,516,484,1541
青森県,2017,フランス,1936,373,0,1075,488
青森県,2017,ドイツ,844,0,0,844,0
青森県,2017,スペイン,0,0,0,0,0
青森県,2017,イタリア,357,0,188,0,169
青森県,2017,ロシア,0,0,0,0,0
青森県,2017,カナダ,2374,891,513,451,519
青森県,2017,米国,25054,3526,8556,7665,5307
青森県,2017,オーストラリア,1853,731,619,503,0
青森県,2018,韓国,17916,5595,4411,4064,3846
青森県,2018,中国,33656,4830,9660,11022,8144
青森県,2018,台湾,63260,4186,17387,11816,29871
青森県,2018,香港,11280,1897,1415,2627,5341
青森県,2018,ベトナム,708,0,0,708,0
青森県,2018,タイ,6991,874,2130,0,3987
青森県,2018,シンガポール,4426,0,647,908,2871
青森県,2018,マレーシア,891,0,326,0,565
青森県,2018,フィリピン,1316,688,317,0,311
青森県,2018,インドネシア,761,488,0,85,188
青森県,2018,インド,406,406,0,0,0
青森県,2018,英国,3468,982,488,164,1834
青森県,2018,フランス,1374,295,275,227,577
青森県,2018,ドイツ,1873,0,914,603,356
青森県,2018,スペイン,442,0,442,0,0
青森県,2018,イタリア,0,0,0,0,0
青森県,2018,ロシア,836,353,483,0,0
青森県,2018,カナダ,2263,821,807,295,340
青森県,2018,米国,18489,3941,8071,3239,3238
青森県,2018,オーストラリア,5552,505,629,2122,2296
青森県,2019,韓国,12972,4663,3305,2805,2199
青森県,2019,中国,24264,11029,5724,4885,2626
青森県,2019,台湾,103240,6930,19514,23672,53124
青森県,2019,香港,21298,5273,5986,3378,6661
青森県,2019,ベトナム,675,0,0,675,0
青森県,2019,タイ,9255,2296,1862,215,4882
青森県,2019,シンガポール,3657,1035,121,0,2501
青森県,2019,マレーシア,1682,0,936,433,313
青森県,2019,フィリピン,1225,503,391,0,331
青森県,2019,インドネシア,1837,327,1162,0,348
青森県,2019,インド,0,0,0,0,0
青森県,2019,英国,1575,131,314,784,346
青森県,2019,フランス,2426,0,1360,743,323
青森県,2019,ドイツ,2927,339,1184,591,813
青森県,2019,スペイン,201,0,0,0,201
青森県,2019,イタリア,219,0,219,0,0
青森県,2019,ロシア,759,0,421,0,338
青森県,2019,カナダ,4046,501,1950,680,915
青森県,2019,米国,24863,3629,5662,8651,6921
青森県,2019,オーストラリア,6196,1368,2868,356,1604
岩手県,2012,韓国,2754,719,1043,992,0
岩手県,2012,中国,3627,649,623,1764,591
岩手県,2012,台湾,8051,916,896,610,5629
岩手県,2012,香港,1270,469,801,0,0
岩手県,2012,タイ,1183,0,272,0,911
岩手県,2012,シンガポール,238,238,0,0,0
岩手県,2012,マレーシア,743,0,0,206,537
岩手県,2012,インド,0,0,0,0,0
岩手県,2012,英国,603,0,204,207,192
岩手県,2012,フランス,406,0,180,226,0
岩手県,2012,ドイツ,1214,132,142,0,940
岩手県,2012,ロシア,283,0,101,182,0
岩手県,2012,カナダ,391,0,212,0,179
岩手県,2012,米国,2770,234,278,2017,241
岩手県,2012,オーストラリア,1201,276,583,342,0
岩手県,2013,韓国,2829,1506,0,747,576
岩手県,2013,中国,1710,0,0,1346,364
岩手県,2013,台湾,15317,1330,3225,5145,5617
岩手県,2013,香港,331,331,0,0,0
